Date,close,position,asset_ret,strat_ret,equity,benchmark,rsi
2010-01-04,6.40648078918457,0,0.0,0.0,1.0,1.0,
2010-01-05,6.417556285858154,0,0.0017287957363865125,0.0,1.0,1.0017287957363865,
2010-01-06,6.31547737121582,0,-0.01590619701572027,-0.0,1.0,0.9857951001550833,
2010-01-07,6.3038010597229,0,-0.0018488406824379577,-0.0,1.0,0.9839725220693686,
2010-01-08,6.345710754394531,0,0.006648321270702251,0.0,1.0,0.9905142875176289,
2010-01-11,6.289730548858643,0,-0.008821739234981862,-0.0,1.0,0.9817762287646246,
2010-01-12,6.21818733215332,0,-0.011374607568571449,-0.0,1.0,0.970608909442275,
2010-01-13,6.305896759033203,0,0.014105304680409159,0.0,1.0,0.9842996438354779,
2010-01-14,6.269376277923584,0,-0.005791480974899121,-0.0,1.0,0.9785990911746048,
2010-01-15,6.1646013259887695,0,-0.016712181130961845,-0.0,1.0,0.9622445659083001,
2010-01-19,6.437315464019775,0,0.044238730715852714,0.0,1.0,1.00481304414231,
2010-01-20,6.338228225708008,0,-0.015392633601009287,-0.0,1.0,0.9893463251163126,
2010-01-21,6.228663921356201,0,-0.017286266832016395,-0.0,1.0,0.9722442205510772,
2010-01-22,5.919729232788086,0,-0.04959886943151193,-0.0,1.0,0.9240220064004222,
2010-01-25,6.078986167907715,0,0.02690273978031632,0.0,1.0,0.9488807299898986,42.34242053238597
2010-01-26,6.164901256561279,0,0.014133127840811444,0.0,1.0,0.9622913826525283,46.58406109469873
2010-01-27,6.22297477722168,0,0.00942002446488388,0.0,1.0,0.9713561910194621,49.29916209885682
2010-01-28,5.965830326080322,0,-0.041321789071458004,-0.0,1.0,0.9312180153809011,39.68119028987981
2010-01-29,5.749396800994873,0,-0.03627886031878658,-0.0,1.0,0.8974344870745598,33.718476489817405
2010-02-01,5.8293256759643555,0,0.01390213229945303,0.0,1.0,0.909910740043962,37.45620175582325
2010-02-02,5.863152980804443,0,0.00580295332950187,0.0,1.0,0.9151909096024496,39.02340894587305
2010-02-03,5.964036464691162,0,0.01720635368324941,0.0,1.0,0.9309380080807641,43.565193814466696
2010-02-04,5.7490973472595215,0,-0.03603920242676972,-0.0,1.0,0.8973877447607677,37.20657007716157
2010-02-05,5.8511786460876465,0,0.017756056761986327,0.0,1.0,0.9133218124942507,41.568567636917955
2010-02-08,5.811066627502441,0,-0.0068553741068948515,-0.0,1.0,0.9070606497896153,40.3815233432997
2010-02-09,5.873033046722412,0,0.01066351897028639,0.0,1.0,0.9167331082358472,43.08543115960517
2010-02-10,5.841001987457275,0,-0.005453921169916165,-0.0,1.0,0.9117333181296766,42.02443819030829
2010-02-11,5.947270393371582,0,0.018193523327419303,0.0,1.0,0.9283209595214543,46.71281381273849
2010-02-12,5.99846076965332,0,0.008607373281495967,0.0,1.0,0.936311364545092,48.858279660216276
2010-02-16,6.088865280151367,0,0.01507128477949049,0.0,1.0,0.9504227797624244,52.49589224278905
2010-02-17,6.063421726226807,0,-0.004178702065802287,-0.0,1.0,0.9464512461292456,51.38805578159187
2010-02-18,6.074796199798584,0,0.0018759166169455277,0.0,1.0,0.9482267097489883,51.87697985876771
2010-02-19,6.037076950073242,0,-0.006209138296127903,-0.0,1.0,0.9423390389720745,50.078257769288015
2010-02-22,5.99965763092041,0,-0.006198251150729139,-0.0,1.0,0.9364981849393889,48.28946791674256
2010-02-23,5.899075031280518,0,-0.016764723227125522,-0.0,1.0,0.9207980520661746,43.764233362656334
2010-02-24,6.006841659545898,0,0.018268394230271046,0.0,1.0,0.9376195538877852,49.251522155473
2010-02-25,6.046957492828369,0,0.006678357039546778,0.0,1.0,0.9438813120359084,51.16190376926838
2010-02-26,6.1253862380981445,0,0.012969951477712627,0.0,1.0,0.9561234068537339,54.74843674879753
2010-03-01,6.256206512451172,0,0.02135706537807569,0.0,1.0,0.9765433969634175,60.022187508921846
2010-03-02,6.25201416015625,0,-0.0006701109189055643,-0.0,1.0,0.9758890045703272,59.781739072633876
2010-03-03,6.266383647918701,0,0.002298377353977754,0.0,1.0,0.9781319657584275,60.36777839193618
2010-03-04,6.3076934814453125,0,0.006592292436536695,0.0,1.0,0.9845800977182316,62.07852440819148
2010-03-05,6.554360866546631,0,0.03910579767817102,0.0,1.0,1.0230828878175546,70.31760911838616
2010-03-08,6.558254241943359,0,0.0005940129748729372,0.0,1.0,1.0236906123272886,70.42682628557101
2010-03-09,6.676199436187744,0,0.017984236336869186,0.0,1.0,1.042100906235217,73.59635418867761
2010-03-10,6.730680465698242,0,0.00816048562228211,0.0,1.0,1.0506049556975166,74.93280250118605
2010-03-11,6.7504377365112305,0,0.0029354046613381257,0.0,1.0,1.0536889063816959,75.4187162188546
2010-03-12,6.783368110656738,0,0.00487825759319227,0.0,1.0,1.0588290722901148,76.24524563841669
2010-03-15,6.700745582580566,0,-0.012180162823003937,-0.0,1.0,1.045932361787891,69.89505578917877
2010-03-16,6.719006061553955,0,0.002725141366485939,0.0,1.0,1.0487826753335456,70.48023013442767
2010-03-17,6.70913028717041,0,-0.0014698266816656202,-0.0,1.0,1.0472411465740716,69.69124404469896
2010-03-18,6.724993705749512,0,0.0023644523060517564,0.0,1.0,1.049717298318081,70.26701642940826
2010-03-19,6.6531476974487305,0,-0.010683431307802804,-0.0,1.0,1.0385027156688873,64.30845601722609
2010-03-22,6.727985858917236,0,0.011248534509042063,0.0,1.0,1.0501843493038228,67.40870516899588
2010-03-23,6.836054801940918,0,0.016062599608536177,0.0,1.0,1.0670530400218412,71.28724774326304
2010-03-24,6.866290092468262,0,0.004422915175981146,0.0,1.0,1.0717725251061305,72.28114205778883
2010-03-25,6.784864902496338,0,-0.011858687715690985,-0.0,1.0,1.0590627094286393,65.68678158170553
2010-03-26,6.9120893478393555,0,0.018751212761245695,0.0,1.0,1.0789214196206371,70.25327927999288
2010-03-29,6.956692218780518,0,0.006452878239356696,0.0,1.0,1.085883568171283,71.67641694177078
2010-03-30,7.060268878936768,0,0.014888780026322213,0.0,1.0,1.102051049751983,74.7030498728817
2010-03-31,7.034826278686523,0,-0.0036036304971540645,-0.0,1.0,1.0980796649796762,72.64939326546522
2010-04-01,7.063865661621094,0,0.004127945991011961,0.0,1.0,1.102612478530541,73.54338667350139
2010-04-05,7.139302730560303,0,0.010679289860942243,0.0,1.0,1.1143875967930605,75.75996320964352
2010-04-06,7.170731544494629,0,0.004402224575768887,0.0,1.0,1.119293381258595,76.63814353376947
2010-04-07,7.2024641036987305,0,0.0044252889690821196,0.0,1.0,1.1242465779118453,77.52354460090969
2010-04-08,7.183004856109619,0,-0.002701748638930135,-0.0,1.0,1.1212091462501501,75.63060867575525
2010-04-09,7.2380852699279785,0,0.007668157675197795,0.0,1.0,1.1298067547704702,77.31880900848901
2010-04-12,7.253053665161133,0,0.002068004821018432,0.0,1.0,1.1321432005861547,77.76951259625511
2010-04-13,7.25724458694458,0,0.0005778148042083764,0.0,1.0,1.1327973696879372,77.90191588688886
2010-04-14,7.354833126068115,0,0.01344705114377609,0.0,1.0,1.148030153853666,80.77351397388387
2010-04-15,7.451528072357178,0,0.013147129871151186,0.0,1.0,1.1631234553823777,83.11484929703947
2010-04-16,7.406024932861328,0,-0.006106551442066177,-0.0,1.0,1.1560207821686115,78.28362817954279
2010-04-19,7.396147727966309,0,-0.0013336715693722523,-0.0,1.0,1.1544790301178298,77.2341699415087
2010-04-20,7.321907043457031,0,-0.010037750358684483,-0.0,1.0,1.1428906578191709,69.67359185011388
2010-04-21,7.759862422943115,0,0.059814386728311186,0.0,1.0,1.2112519616141408,81.30188427152173
2010-04-22,7.976892948150635,0,0.02796834703742146,0.0,1.0,1.2451286768263226,84.47813337721058
2010-04-23,8.107413291931152,0,0.016362303547119428,0.0,1.0,1.265501850191778,86.01654729809174
2010-04-26,8.067596435546875,0,-0.004911166478203888,-0.0,1.0,1.2592867599270112,83.30405303251459
2010-04-27,7.844277381896973,0,-0.027680989676916568,-0.0,1.0,1.224428456125194,69.97567215032798
2010-04-28,7.8311076164245605,0,-0.001678901042281522,-0.0,1.0,1.2223727619140061,69.27178251242984
2010-04-29,8.041855812072754,0,0.026911671499211698,0.0,1.0,1.25526885613222,73.81158728425555
2010-04-30,7.8158416748046875,0,-0.028104723903251916,-0.0,1.0,1.2199898715062731,63.05285737552138
2010-05-03,7.973299026489258,0,0.02014592391145187,0.0,1.0,1.2445676946303805,66.6950073360599
2010-05-04,7.743697166442871,0,-0.028796343807449443,-0.0,1.0,1.2087286954041594,57.75453969107576
2010-05-05,7.6631693840026855,0,-0.010399138900879401,-0.0,1.0,1.1961589578071727,54.97125528389626
2010-05-06,7.371598243713379,0,-0.03804837472312417,-0.0,1.0,1.1506470535521038,46.27552108141573
2010-05-07,7.060566425323486,0,-0.04219326774287324,-0.0,1.0,1.1020974943440318,39.15928533648648
2010-05-10,7.603298664093018,0,0.076868087639961,0.0,1.0,1.1868136211270504,52.799253584025266
2010-05-11,7.679036617279053,0,0.009961196650568382,0.0,1.0,1.19863570499467,54.33772429323659
2010-05-12,7.845776081085205,0,0.021713591445958524,0.0,1.0,1.2246623909854628,57.613242940530675
2010-05-13,7.734116554260254,0,-0.01423180137579283,-0.0,1.0,1.2072332390845542,54.77936225042689
2010-05-14,7.598211765289307,0,-0.01757211544686199,-0.0,1.0,1.1860195972360712,51.46144982652692
2010-05-17,7.6101837158203125,0,0.0015756273845508595,0.0,1.0,1.1878883221920904,51.738757115780345
2010-05-18,7.554502964019775,0,-0.007316610725807582,-0.0,1.0,1.1791970057528782,50.2994206494413
2010-05-19,7.4341630935668945,0,-0.015929554998658446,-0.0,1.0,1.1604129221954844,47.240620764361815
2010-05-20,7.1174468994140625,0,-0.04260280413095863,-0.0,1.0,1.110976077760157,40.295360272988034
2010-05-21,7.253951549530029,0,0.019178878612667205,0.0,1.0,1.1322833530970962,44.109304326875744
2010-05-24,7.386865139007568,0,0.018322922143883202,0.0,1.0,1.1530300928207093,47.61806992731695
2010-05-25,7.340764999389648,0,-0.006240825945837414,-0.0,1.0,1.1458342327011026,46.527037204123836
2010-05-26,7.3075385093688965,0,-0.004526298011653385,-0.0,1.0,1.1406478454919433,45.71405205023538
2010-05-27,7.584140300750732,0,0.03785156807962187,0.0,1.0,1.1838231550704557,53.06625713202753
2010-05-28,7.689812660217285,0,0.013933333941104964,0.0,1.0,1.2003177584172648,55.543434990737275
2010-06-01,7.808061122894287,0,0.015377287835469877,0.0,1.0,1.2187753900824732,58.20199423990592
2010-06-02,7.901457786560059,0,0.011961569229000935,0.0,1.0,1.2333538562855473,60.22519527691852
2010-06-03,7.8766093254089355,0,-0.0031447945204983174,-0.0,1.0,1.229475211836465,59.40137440612707
2010-06-04,7.662272930145264,0,-0.02721175907153983,-0.0,1.0,1.1960190285875407,52.70434643218362
2010-06-07,7.511992454528809,0,-0.019613041324228364,-0.0,1.0,1.1725614579552899,48.569665039879744
2010-06-08,7.463801860809326,0,-0.006415154702455683,-0.0,1.0,1.1650392948043697,47.28852735445123
2010-06-09,7.280296325683594,0,-0.024586067335103934,-0.0,1.0,1.1363955602542675,42.67267277165901
2010-06-10,7.4991230964660645,0,0.03005739890153758,0.0,1.0,1.1705526549187664,49.05832831182166
2010-06-11,7.58892822265625,0,0.011975416996756083,0.0,1.0,1.1845705110780784,51.44851419975472
2010-06-14,7.611979961395264,0,0.0030375486580824784,0.0,1.0,1.1881687016444078,52.07017230132642
2010-06-15,7.773933410644531,0,0.02127612658869671,0.0,1.0,1.2134483293493217,56.303366999640005
2010-06-16,8.000244140625,0,0.029111482955409773,0.0,1.0,1.248773609706445,61.429785493878605
2010-06-17,8.138548851013184,0,0.01728756122402264,0.0,1.0,1.270361859939189,64.19439388598114
2010-06-18,8.204399108886719,0,0.008091154710625936,0.0,1.0,1.2806405542864356,65.4636892758216
2010-06-21,8.087652206420898,0,-0.014229793177584993,-0.0,1.0,1.2624173040641118,61.31374660182217
2010-06-22,8.197819709777832,0,0.013621691505165234,0.0,1.0,1.2796135631308554,63.6551554772379
2010-06-23,8.111603736877441,0,-0.01051693937566811,-0.0,1.0,1.2661559448631254,60.565806280138865
2010-06-24,8.052630424499512,0,-0.007270240792190297,-0.0,1.0,1.2569506862635074,58.47526806749084
2010-06-25,7.983777046203613,0,-0.008550420752753918,-0.0,1.0,1.2462032290304916,56.04302705341342
2010-06-28,8.031676292419434,0,0.0059995721246495215,0.0,1.0,1.2536799151850313,57.371410507611884
2010-06-29,7.668558120727539,0,-0.04521075781336181,-0.0,1.0,1.197000096164125,46.017977643296284
2010-06-30,7.529657363891602,0,-0.01811302133324111,-0.0,1.0,1.1753188078864125,42.549289219788115
2010-07-01,7.4383544921875,0,-0.01212576712214608,-0.0,1.0,1.1610671657277036,40.393936041330804
2010-07-02,7.392253398895264,0,-0.006197754266841771,-0.0,1.0,1.1538711567472248,39.31112402349522
2010-07-06,7.442843437194824,0,0.006843655861028974,0.0,1.0,1.1617678538519702,41.174668422465764
2010-07-07,7.7433953285217285,0,0.04038132655389837,0.0,1.0,1.2086815809381883,50.833769367487015
2010-07-08,7.726032733917236,0,-0.002242245664578091,-0.0,1.0,1.2059714199034743,50.31973692928774
2010-07-09,7.7718400955200195,0,0.005928962920605851,0.0,1.0,1.2131215797353925,51.707213981638226
2010-07-12,7.70208740234375,0,-0.008975055111655972,-0.0,1.0,1.2022337467001283,49.4428023060947
2010-07-13,7.537742614746094,0,-0.021337694447306044,-0.0,1.0,1.1765808503588011,44.49825163301994
2010-07-14,7.565577507019043,0,0.0036927358355929307,0.0,1.0,1.1809256526283936,45.492507701216695
2010-07-15,7.5272626876831055,0,-0.00506436148468381,-0.0,1.0,1.1749450182369472,44.31568516879254
2010-07-16,7.480863571166992,0,-0.006164142058179611,-0.0,1.0,1.1677024902339843,42.86942518259819
2010-07-19,7.3515424728393555,0,-0.017286921101738906,-0.0,1.0,1.1475165094150055,39.04473919171299
2010-07-20,7.540435314178467,0,0.025694314089456105,0.0,1.0,1.177001159030751,46.54637666024318
2010-07-21,7.610781192779541,0,0.009329153513033983,0.0,1.0,1.1879815835283678,49.06061485261697
2010-07-22,7.7538743019104,0,0.01880136946606914,0.0,1.0,1.2103172641991706,53.81897772051312
2010-07-23,7.7814154624938965,0,0.003551922498499893,0.0,1.0,1.2146162173202024,54.696154501738654
2010-07-26,7.761659145355225,0,-0.0025389104635135107,-0.0,1.0,1.211532415496895,53.90517993356298
2010-07-27,7.905348300933838,0,0.018512685611117075,0.0,1.0,1.2339611342126662,58.59504871097258
2010-07-28,7.811946868896484,0,-0.01181496734638754,-0.0,1.0,1.2193819237052321,54.699185895924764
2010-07-29,7.726632118225098,0,-0.010921061305609991,-0.0,1.0,1.2060649789614946,51.3413077127929
2010-07-30,7.700888156890869,0,-0.0033318476847765677,-0.0,1.0,1.2020465541536516,50.337134809977336
2010-08-02,7.838592529296875,0,0.01788162217143574,0.0,1.0,1.2235410964675035,55.36594199516716
2010-08-03,7.8409833908081055,0,0.00030501158241036386,0.0,1.0,1.2239142906734812,55.4502889635699
2010-08-04,7.872419834136963,0,0.004009247534653593,0.0,1.0,1.2288212660259912,56.61131838650971
2010-08-05,7.834103584289551,0,-0.004867150209807436,-0.0,1.0,1.222840408343237,54.73879253247846
2010-08-06,7.785904884338379,0,-0.006152420558726002,-0.0,1.0,1.215316979874905,52.39121453069612
2010-08-09,7.8355937004089355,0,0.0063818935382202735,0.0,1.0,1.223073003455658,54.55502251371701
2010-08-10,7.765547275543213,0,-0.008939517226635552,-0.0,1.0,1.2121393212718332,51.03373885261754
2010-08-11,7.489543437957764,0,-0.03554209739404901,-0.0,1.0,1.1690573474600332,40.06126090812407
2010-08-12,7.5374436378479,0,0.006395610131236351,0.0,1.0,1.176534182475445,42.37679729974458
2010-08-13,7.456916809082031,0,-0.010683572924050533,-0.0,1.0,1.1639645937393304,39.60666663240724
2010-08-16,7.413209915161133,0,-0.005861255400846921,-0.0,1.0,1.157142299977881,38.149028769193215
2010-08-17,7.542830944061279,0,0.017485142115705177,0.0,1.0,1.1773750975410884,44.65443440803259
2010-08-18,7.575759410858154,0,0.004365531594314742,0.0,1.0,1.1825149657277634,46.202435288693884
2010-08-19,7.480265140533447,0,-0.012605240629452563,-0.0,1.0,1.1676090800368362,42.49073339226529
2010-08-20,7.47308349609375,0,-0.0009600788614807509,-0.0,1.0,1.16648808324062,42.21605962488693
2010-08-23,7.358127593994141,0,-0.015382659936784893,-0.0,1.0,1.1485443937358175,37.98343940410666
2010-08-24,7.182405948638916,0,-0.023881299027574965,-0.0,1.0,1.1211156616225677,32.602467237844834
2010-08-25,7.2710161209106445,0,0.012337115571770196,0.0,1.0,1.134946995109327,37.417120364794634
2010-08-26,7.192881107330322,0,-0.010746092744260971,-0.0,1.0,1.122750749440062,35.04009880018887
