,value
total_return,1.4504389553282726
benchmark_return,38.11647142570907
excess_return,-36.6660324703808
sharpe,0.4289138700926683
benchmark_sharpe,1.0187138419114508
max_drawdown,-0.37709039340655737
calmar,3.846395932352729
n_trades,12.0
win_rate,0.8333333333333334
avg_trade_return,0.0864489374845549
time_in_market,0.2939305592366817
